trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
128305876,5,09/01/2019 09:10,09/01/2019 09:15,3030,34.051941,-118.24353,3029,34.048851,-118.246422,12346,30,One Way,Monthly Pass,standard
128305874,8,09/01/2019 09:11,09/01/2019 09:19,4406,34.101891,-118.300613,4406,34.101891,-118.300613,6111,365,Round Trip,Walk-up,standard
128305875,5,09/01/2019 09:11,09/01/2019 09:16,4325,34.022518,-118.400589,4393,34.026829,-118.393517,16136,30,One Way,Monthly Pass,smart
128308099,51,09/01/2019 09:12,09/01/2019 10:03,4352,33.988419,-118.45163,4286,,,15270,1,One Way,One Day Pass,smart
128306327,9,09/01/2019 09:17,09/01/2019 09:26,3029,34.048851,-118.246422,3064,34.04681,-118.256981,19662,30,One Way,Monthly Pass,electric
128308095,45,09/01/2019 09:17,09/01/2019 10:02,4352,33.988419,-118.45163,4286,,,15947,1,One Way,One Day Pass,smart
128308096,45,09/01/2019 09:17,09/01/2019 10:02,4352,33.988419,-118.45163,4286,,,16073,1,One Way,One Day Pass,smart
128308097,46,09/01/2019 09:17,09/01/2019 10:03,4352,33.988419,-118.45163,4286,,,15800,1,One Way,One Day Pass,smart
128308769,55,09/01/2019 09:20,09/01/2019 10:15,4285,,,4394,33.980789,-118.414902,15986,365,One Way,Walk-up,smart
128311938,55,09/01/2019 09:20,09/01/2019 10:15,4406,34.101891,-118.300613,3000,,,17361,365,One Way,Walk-up,electric
128308320,45,09/01/2019 09:21,09/01/2019 10:06,4384,33.990318,-118.412048,4384,33.990318,-118.412048,15786,365,Round Trip,Walk-up,smart
128308319,44,09/01/2019 09:22,09/01/2019 10:06,4384,33.990318,-118.412048,4384,33.990318,-118.412048,15084,365,Round Trip,Walk-up,smart
128307216,24,09/01/2019 09:24,09/01/2019 09:48,4126,33.710979,-118.284668,4126,33.710979,-118.284668,6662,1,Round Trip,Walk-up,standard
128315199,184,09/01/2019 09:26,09/01/2019 12:30,4126,33.710979,-118.284668,4126,33.710979,-118.284668,18964,1,Round Trip,Walk-up,electric
128307654,29,09/01/2019 09:30,09/01/2019 09:59,4311,34.059689,-118.294662,4311,34.059689,-118.294662,18849,30,Round Trip,Monthly Pass,electric
128306775,5,09/01/2019 09:31,09/01/2019 09:36,4285,,,4325,34.022518,-118.400589,15199,30,One Way,Monthly Pass,smart
128306773,3,09/01/2019 09:32,09/01/2019 09:35,3035,34.048401,-118.260948,3005,34.0485,-118.258537,5775,30,One Way,Monthly Pass,standard
128306774,7,09/01/2019 09:32,09/01/2019 09:39,3014,34.05661,-118.237213,3066,34.063389,-118.23616,17567,30,One Way,Monthly Pass,electric
128306772,2,09/01/2019 09:33,09/01/2019 09:35,3038,34.046822,-118.248352,3029,34.048851,-118.246422,19370,30,One Way,Monthly Pass,electric
128306770,4,09/01/2019 09:35,09/01/2019 09:39,3005,34.0485,-118.258537,3007,34.05048,-118.254593,16516,30,One Way,Monthly Pass,electric
128307209,11,09/01/2019 09:36,09/01/2019 09:47,3029,34.048851,-118.246422,3038,34.046822,-118.248352,12326,30,One Way,Monthly Pass,standard
128309887,65,09/01/2019 09:36,09/01/2019 10:41,4286,,,4285,,,16256,1,One Way,One Day Pass,smart
128309888,65,09/01/2019 09:36,09/01/2019 10:41,4286,,,4285,,,15989,1,One Way,One Day Pass,smart
128306990,4,09/01/2019 09:38,09/01/2019 09:42,4304,34.06258,-118.290092,4311,34.059689,-118.294662,6475,30,One Way,Monthly Pass,standard
128307206,8,09/01/2019 09:41,09/01/2019 09:49,4390,34.069271,-118.296593,4312,34.06699,-118.290878,19535,30,One Way,Monthly Pass,electric
128308306,24,09/01/2019 09:42,09/01/2019 10:06,3022,34.04607,-118.233093,3022,34.04607,-118.233093,6543,1,Round Trip,One Day Pass,standard
128310571,76,09/01/2019 09:43,09/01/2019 10:59,4285,,,4342,33.991161,-118.468292,16118,1,One Way,One Day Pass,smart
128307205,3,09/01/2019 09:44,09/01/2019 09:47,4311,34.059689,-118.294662,4306,34.057652,-118.292183,19655,30,One Way,Monthly Pass,electric
128310569,74,09/01/2019 09:45,09/01/2019 10:59,4342,33.991161,-118.468292,4342,33.991161,-118.468292,15883,1,Round Trip,One Day Pass,smart
128398237,1440,09/01/2019 09:45,09/02/2019 14:08,3006,34.04554,-118.256668,3000,,,17104,1,One Way,Walk-up,electric
128308304,18,09/01/2019 09:48,09/01/2019 10:06,4306,34.057652,-118.292183,3005,34.0485,-118.258537,16593,30,One Way,Monthly Pass,electric
128309206,41,09/01/2019 09:48,09/01/2019 10:29,3038,34.046822,-118.248352,3038,34.046822,-118.248352,12326,30,Round Trip,Monthly Pass,standard
128308079,12,09/01/2019 09:50,09/01/2019 10:02,4322,34.005871,-118.429161,4354,34.017681,-118.409081,16021,30,One Way,Monthly Pass,smart
128307423,1,09/01/2019 09:51,09/01/2019 09:52,4312,34.06699,-118.290878,4312,34.06699,-118.290878,6168,30,Round Trip,Monthly Pass,standard
128308300,10,09/01/2019 09:58,09/01/2019 10:08,4314,34.057709,-118.279762,4405,34.051899,-118.293678,16580,30,One Way,Monthly Pass,electric
128308077,3,09/01/2019 10:00,09/01/2019 10:03,4311,34.059689,-118.294662,4306,34.057652,-118.292183,18849,30,One Way,Monthly Pass,electric
128310101,42,09/01/2019 10:03,09/01/2019 10:45,4306,34.057652,-118.292183,4311,34.059689,-118.294662,17037,30,One Way,Monthly Pass,electric
128308521,5,09/01/2019 10:05,09/01/2019 10:10,4304,34.06258,-118.290092,4390,34.069271,-118.296593,18275,30,One Way,Monthly Pass,electric
128308743,11,09/01/2019 10:06,09/01/2019 10:17,4354,34.017681,-118.409081,4286,,,15523,1,One Way,One Day Pass,smart
128309195,20,09/01/2019 10:06,09/01/2019 10:26,3005,34.0485,-118.258537,3008,34.046612,-118.262733,16593,30,One Way,Monthly Pass,electric
128310094,36,09/01/2019 10:10,09/01/2019 10:46,3032,34.049889,-118.255882,4302,34.092491,-118.291443,18841,1,One Way,Walk-up,electric
